2017-03-07 12:10: [[1.2], [14.46807], [2929]]
2017-03-07 12:10: [[1.2], [14.46807], [2929]]
2017-03-07 12:10: [[1.3], [14.40522], [2929]]
2017-03-07 12:10: [[1.3], [14.352656], [2929]]
2017-03-07 12:10: [[3.7], [14.26695], [2929]]
2017-03-07 12:10: [[0.0], [14.26695], [2929]]
2017-03-07 12:10: [[1.3], [14.151568], [2929]]
2017-03-07 12:10: [[9.5], [14.126432], [2929]]
2017-03-07 12:10: [[4.9], [14.014435000000002], [2929]]
2017-03-07 12:10: [[2.5], [14.014435000000002], [2929]]
2017-03-07 12:10: [[1.3], [13.976728000000001], [2929]]
2017-03-07 12:10: [[2.6], [13.94013], [2929]]
2017-03-07 12:10: [[0.0], [13.87728], [2929]]
2017-03-07 12:10: [[1.2], [13.87728], [2929]]
2017-03-07 12:10: [[0.0], [13.827], [2929]]
2017-03-07 12:10: [[18.2], [13.788193], [2929]]
2017-03-07 12:10: [[1.3], [13.73901], [2929]]
2017-03-07 12:10: [[1.2], [13.73901], [2929]]
2017-03-07 21:42: [[13.8], [0.0], [2685]]
2017-03-07 21:42: [[25.0], [0.0], [2685]]
2017-03-07 21:47: [[6.3], [0.0], [2685]]
2017-03-07 21:47: [[21.4], [0.0], [2685]]
2017-03-07 21:49: [[8.7], [0.0], [2685]]
2017-03-07 21:49: [[18.5], [0.0], [2685]]
2017-03-07 21:50: [[7.6], [0.0], [2685]]
2017-03-07 21:50: [[20.3], [0.0], [2685]]
2017-03-07 21:50: [[9.8], [0.0], [2685]]
2017-03-07 21:50: [[19.8], [0.0], [2685]]
2017-03-07 21:51: [[5.1], [0.0], [2685]]
2017-03-07 21:51: [[20.5], [0.0], [2685]]
2017-03-07 21:52: [[13.0], [0.0], [2685]]
2017-03-07 21:52: [[24.4], [0.0], [2685]]
2017-03-07 21:53: [[7.3], [0.0], [2685]]
2017-03-07 21:53: [[22.0], [0.0], [2685]]
2017-03-07 21:53: [[12.3], [0.0], [2685]]
2017-03-07 21:53: [[26.3], [0.0], [2685]]
2017-03-07 21:53: [[12.3], [0.0], [2685]]
2017-03-07 21:53: [[27.8], [0.0], [2685]]
2017-03-07 21:53: [[16.7], [0.0], [2685]]
2017-03-07 21:53: [[27.2], [0.0], [2685]]
2017-03-07 21:53: [[16.3], [0.0], [2685]]
2017-03-07 21:53: [[28.7], [0.0], [2685]]
2017-03-07 21:53: [[13.9], [0.0], [2685]]
2017-03-07 21:53: [[47.0], [0.0], [2685]]
2017-03-07 21:53: [[71.1], [0.0], [2685]]
2017-03-07 21:53: [[47.6], [0.0], [2685]]
2017-03-07 21:53: [[48.1], [0.0], [2685]]
2017-03-07 21:53: [[45.2], [0.0], [2685]]
2017-03-07 21:53: [[70.0], [0.0], [2685]]
2017-03-07 22:18: [[10.3], [0.0], [2685]]
2017-03-07 22:18: [[22.7], [0.0], [2685]]
2017-03-07 22:38: [[11.2], [0.0], [2685]]
2017-03-07 22:38: [[23.5], [0.0], [2685]]
2017-03-07 22:51: [[11.1], [0.0], [2685]]
2017-03-07 22:51: [[27.1], [0.0], [2685]]
2017-03-07 22:51: [[13.1], [0.0], [2685]]
2017-03-07 22:51: [[24.4], [0.0], [2685]]
2017-03-07 22:53: [[11.2], [0.0], [2685]]
2017-03-07 22:53: [[20.5], [0.0], [2685]]
2017-03-07 22:54: [[22.1], [0.0], [2685]]
2017-03-07 22:54: [[24.7], [0.0], [2685]]
2017-03-07 22:54: [[4.9], [0.0], [2685]]
2017-03-07 22:54: [[2.5], [0.0], [2685]]
2017-03-07 22:54: [[20.0], [0.0], [2685]]
2017-03-07 23:01: [[4.9], [0.0], [2685]]
2017-03-07 23:01: [[3.7], [0.0], [2685]]
2017-03-07 23:01: [[4.9], [0.0], [2685]]
2017-03-07 23:01: [[2.5], [0.0], [2685]]
2017-03-07 23:01: [[12.5], [0.0], [2685]]
2017-03-07 23:01: [[3.8], [0.0], [2685]]
2017-03-07 23:06: [[8.7], [0.0], [2685]]
2017-03-07 23:06: [[6.2], [0.0], [2685]]
2017-03-07 23:08: [[2.5], [0.0], [2685]]
2017-03-07 23:08: [[2.5], [0.0], [2685]]
2017-03-08 10:34: [[5.0], [0.0], [2685]]
2017-03-08 10:34: [[2.5], [0.0], [2685]]
2017-03-08 10:34: [[24.1], [0.0], [2685]]
